date,1. open,2. high,3. low,4. close,5. volume,sym
2018-04-26 13:22:00,30.24,30.245,30.2,30.2,158864.0,BAC
2018-04-26 13:23:00,30.2,30.22,30.2,30.21,32823.0,BAC
2018-04-26 13:24:00,30.2142,30.22,30.21,30.215,15745.0,BAC
2018-04-26 13:25:00,30.215,30.24,30.21,30.24,80205.0,BAC
2018-04-26 13:26:00,30.23,30.24,30.23,30.235,6534.0,BAC
2018-04-26 13:27:00,30.23,30.24,30.21,30.215,90510.0,BAC
2018-04-26 13:28:00,30.215,30.22,30.2,30.21,97150.0,BAC
2018-04-26 13:29:00,30.215,30.215,30.21,30.2138,24300.0,BAC
2018-04-26 13:30:00,30.215,30.22,30.19,30.21,327592.0,BAC
2018-04-26 13:31:00,30.21,30.225,30.21,30.225,76494.0,BAC
2018-04-26 13:32:00,30.225,30.225,30.2,30.2,55890.0,BAC
2018-04-26 13:33:00,30.205,30.21,30.2,30.205,43148.0,BAC
2018-04-26 13:34:00,30.2,30.21,30.2,30.201,40390.0,BAC
2018-04-26 13:35:00,30.21,30.22,30.2,30.215,67247.0,BAC
2018-04-26 13:36:00,30.215,30.24,30.21,30.24,56341.0,BAC
2018-04-26 13:37:00,30.24,30.25,30.23,30.25,34113.0,BAC
2018-04-26 13:38:00,30.25,30.25,30.22,30.22,118470.0,BAC
2018-04-26 13:39:00,30.225,30.2288,30.21,30.2288,101588.0,BAC
2018-04-26 13:40:00,30.221,30.2371,30.22,30.235,55278.0,BAC
2018-04-26 13:41:00,30.235,30.25,30.23,30.2362,107602.0,BAC
2018-04-26 13:42:00,30.24,30.24,30.23,30.23,6108.0,BAC
2018-04-26 13:43:00,30.234,30.235,30.2239,30.225,47469.0,BAC
2018-04-26 13:44:00,30.225,30.24,30.22,30.24,26834.0,BAC
2018-04-26 13:45:00,30.24,30.24,30.22,30.24,49048.0,BAC
2018-04-26 13:46:00,30.24,30.25,30.23,30.25,42230.0,BAC
2018-04-26 13:47:00,30.25,30.255,30.241,30.255,100703.0,BAC
2018-04-26 13:48:00,30.2544,30.2675,30.25,30.26,131369.0,BAC
2018-04-26 13:49:00,30.2523,30.27,30.2523,30.26,36279.0,BAC
2018-04-26 13:50:00,30.26,30.275,30.26,30.265,79068.0,BAC
2018-04-26 13:51:00,30.26,30.27,30.26,30.26,28032.0,BAC
2018-04-26 13:52:00,30.27,30.27,30.25,30.255,73665.0,BAC
2018-04-26 13:53:00,30.255,30.26,30.24,30.255,47241.0,BAC
2018-04-26 13:54:00,30.25,30.275,30.25,30.25,63921.0,BAC
2018-04-26 13:55:00,30.255,30.26,30.24,30.25,45398.0,BAC
2018-04-26 13:56:00,30.2558,30.2651,30.24,30.26,28745.0,BAC
