date,1. open,2. high,3. low,4. close,5. volume,sym
2018-04-20 14:21:00,229.68,229.74,229.42,229.56,7483.0,NVDA
2018-04-20 14:22:00,229.5212,229.65,229.5,229.6001,6149.0,NVDA
2018-04-20 14:23:00,229.62,229.66,229.535,229.56,3500.0,NVDA
2018-04-20 14:24:00,229.58,229.71,229.48,229.71,10938.0,NVDA
2018-04-20 14:25:00,229.71,229.8503,229.695,229.7,9846.0,NVDA
2018-04-20 14:26:00,229.67,229.68,229.5,229.5,3337.0,NVDA
2018-04-20 14:27:00,229.47,229.6099,229.44,229.4413,6900.0,NVDA
2018-04-20 14:28:00,229.49,229.6599,229.44,229.58,7900.0,NVDA
2018-04-20 14:29:00,229.63,229.7698,229.6211,229.73,6181.0,NVDA
2018-04-20 14:30:00,229.77,229.84,229.765,229.77,5574.0,NVDA
2018-04-20 14:31:00,229.84,229.93,229.67,229.82,6274.0,NVDA
2018-04-20 14:32:00,229.83,229.83,229.53,229.55,4897.0,NVDA
2018-04-20 14:33:00,229.59,229.6,229.22,229.22,40553.0,NVDA
2018-04-20 14:34:00,229.2775,229.3182,229.1,229.27,23670.0,NVDA
2018-04-20 14:35:00,229.3,229.35,229.05,229.05,10342.0,NVDA
2018-04-20 14:36:00,229.08,229.15,228.9,228.949,27888.0,NVDA
2018-04-20 14:37:00,228.97,229.36,228.97,229.105,16594.0,NVDA
2018-04-20 14:38:00,229.13,229.1515,229.0678,229.11,7204.0,NVDA
2018-04-20 14:39:00,229.14,229.29,229.08,229.25,11654.0,NVDA
2018-04-20 14:40:00,229.27,229.5,229.27,229.5,8588.0,NVDA
2018-04-20 14:41:00,229.45,229.71,229.45,229.6727,6619.0,NVDA
2018-04-20 14:42:00,229.6832,229.79,229.57,229.62,9800.0,NVDA
2018-04-20 14:43:00,229.55,229.67,229.47,229.6,3981.0,NVDA
2018-04-20 14:44:00,229.66,229.78,229.6198,229.6198,2703.0,NVDA
2018-04-20 14:45:00,229.58,229.58,229.38,229.43,3654.0,NVDA
2018-04-20 14:46:00,229.4699,229.4699,229.3188,229.3283,3427.0,NVDA
2018-04-20 14:47:00,229.3499,229.3499,229.12,229.13,2909.0,NVDA
2018-04-20 14:48:00,229.18,229.41,229.11,229.39,6325.0,NVDA
2018-04-20 14:49:00,229.34,229.34,229.2,229.2,4309.0,NVDA
2018-04-20 14:50:00,229.12,229.18,229.06,229.16,5090.0,NVDA
2018-04-20 14:51:00,229.111,229.1627,229.03,229.1627,6259.0,NVDA
2018-04-20 14:52:00,229.1456,229.25,229.124,229.25,2980.0,NVDA
2018-04-20 14:53:00,229.21,229.33,228.9,229.18,31802.0,NVDA
2018-04-20 14:54:00,229.17,229.35,229.17,229.2706,4550.0,NVDA
2018-04-20 14:55:00,229.2305,229.375,229.2305,229.3447,2980.0,NVDA
2018-04-20 14:56:00,229.33,229.48,229.3,229.43,20098.0,NVDA
2018-04-20 14:57:00,229.41,229.463,229.33,229.463,8897.0,NVDA
2018-04-20 14:58:00,229.46,229.6,229.4468,229.51,14351.0,NVDA
2018-04-20 14:59:00,229.5,229.5,229.43,229.46,4485.0,NVDA
2018-04-20 15:00:00,229.4625,229.4648,229.39,229.44,3500.0,NVDA
2018-04-20 15:01:00,229.5,229.5,228.98,229.0355,14270.0,NVDA
2018-04-20 15:02:00,229.09,229.18,228.93,228.93,18328.0,NVDA
2018-04-20 15:03:00,228.91,228.91,228.39,228.43,28181.0,NVDA
2018-04-20 15:04:00,228.418,228.8,228.418,228.8,20578.0,NVDA
2018-04-20 15:05:00,228.79,228.79,228.62,228.6408,10971.0,NVDA
2018-04-20 15:06:00,228.6,228.6,228.31,228.39,18885.0,NVDA
2018-04-20 15:07:00,228.4353,228.44,228.27,228.4,13559.0,NVDA
2018-04-20 15:08:00,228.39,228.44,228.31,228.38,8100.0,NVDA
2018-04-20 15:09:00,228.36,228.41,228.27,228.3604,14545.0,NVDA
2018-04-20 15:10:00,228.379,228.3799,228.2,228.29,11959.0,NVDA
2018-04-20 15:11:00,228.2923,228.44,228.24,228.39,21511.0,NVDA
2018-04-20 15:12:00,228.4223,228.52,228.39,228.48,19850.0,NVDA
2018-04-20 15:13:00,228.53,228.55,228.3682,228.48,11762.0,NVDA
2018-04-20 15:14:00,228.4552,228.59,228.34,228.5201,8436.0,NVDA
2018-04-20 15:15:00,228.53,228.57,228.43,228.44,9064.0,NVDA
