date,1. open,2. high,3. low,4. close,5. volume,sym
2018-04-26 13:23:00,175.59,175.7,175.51,175.67,65658.0,FB
2018-04-26 13:24:00,175.68,175.9,175.67,175.83,119141.0,FB
2018-04-26 13:25:00,175.839,175.92,175.78,175.905,85887.0,FB
2018-04-26 13:26:00,175.875,175.99,175.86,175.95,99239.0,FB
2018-04-26 13:27:00,175.99,176.0,175.96,175.97,250355.0,FB
2018-04-26 13:28:00,175.96,175.98,175.72,175.78,200113.0,FB
2018-04-26 13:29:00,175.785,175.97,175.785,175.915,96040.0,FB
2018-04-26 13:30:00,175.9,175.915,175.79,175.8514,90087.0,FB
2018-04-26 13:31:00,175.855,175.95,175.79,175.95,72354.0,FB
2018-04-26 13:32:00,175.95,176.0,175.89,175.93,120921.0,FB
2018-04-26 13:33:00,175.94,176.0,175.79,175.87,193764.0,FB
2018-04-26 13:34:00,175.89,176.1,175.87,176.0896,181428.0,FB
2018-04-26 13:35:00,176.09,176.09,175.95,176.08,122281.0,FB
2018-04-26 13:36:00,176.08,176.27,176.08,176.27,166803.0,FB
2018-04-26 13:37:00,176.27,176.27,175.98,176.09,97791.0,FB
2018-04-26 13:38:00,176.085,176.09,175.82,175.8588,86124.0,FB
2018-04-26 13:39:00,175.85,175.92,175.81,175.885,63523.0,FB
2018-04-26 13:40:00,175.885,175.9,175.45,175.5,148251.0,FB
2018-04-26 13:41:00,175.5,175.6799,175.495,175.57,90739.0,FB
2018-04-26 13:42:00,175.59,175.68,175.45,175.62,74052.0,FB
2018-04-26 13:43:00,175.63,175.63,175.4,175.45,69068.0,FB
2018-04-26 13:44:00,175.47,175.62,175.42,175.46,79826.0,FB
2018-04-26 13:45:00,175.44,175.6,175.4,175.6,50686.0,FB
2018-04-26 13:46:00,175.59,175.72,175.57,175.65,46162.0,FB
2018-04-26 13:47:00,175.645,175.7395,175.54,175.73,54934.0,FB
2018-04-26 13:48:00,175.725,175.82,175.57,175.62,66972.0,FB
2018-04-26 13:49:00,175.62,175.79,175.62,175.79,40274.0,FB
2018-04-26 13:50:00,175.8,175.8199,175.64,175.64,65899.0,FB
2018-04-26 13:51:00,175.62,175.7268,175.556,175.705,37420.0,FB
2018-04-26 13:52:00,175.7,175.81,175.67,175.735,72311.0,FB
2018-04-26 13:53:00,175.7499,175.75,175.56,175.68,58109.0,FB
2018-04-26 13:54:00,175.6738,175.69,175.41,175.45,68577.0,FB
2018-04-26 13:55:00,175.4652,175.4802,175.285,175.34,65986.0,FB
2018-04-26 13:56:00,175.3364,175.64,175.3288,175.6,48968.0,FB
2018-04-26 13:57:00,175.6,175.68,175.596,175.6679,51002.0,FB
2018-04-26 13:58:00,175.68,175.88,175.6101,175.8503,69269.0,FB
2018-04-26 13:59:00,175.865,175.9,175.72,175.7714,67270.0,FB
2018-04-26 14:00:00,175.76,175.88,175.74,175.7698,45803.0,FB
2018-04-26 14:01:00,175.76,175.78,175.64,175.75,39264.0,FB
2018-04-26 14:02:00,175.746,175.83,175.68,175.75,36087.0,FB
2018-04-26 14:03:00,175.75,175.83,175.72,175.8197,35834.0,FB
2018-04-26 14:04:00,175.8,175.8,175.64,175.6801,36459.0,FB
2018-04-26 14:05:00,175.6891,175.79,175.59,175.68,47255.0,FB
2018-04-26 14:06:00,175.6882,175.7904,175.6046,175.73,37045.0,FB
2018-04-26 14:07:00,175.73,175.83,175.64,175.825,54201.0,FB
2018-04-26 14:08:00,175.84,175.847,175.71,175.7819,54117.0,FB
2018-04-26 14:09:00,175.7817,175.84,175.71,175.8276,73676.0,FB
2018-04-26 14:10:00,175.83,175.9399,175.72,175.8848,69591.0,FB
2018-04-26 14:11:00,175.88,175.93,175.84,175.925,41769.0,FB
2018-04-26 14:12:00,175.9239,175.93,175.66,175.705,79141.0,FB
2018-04-26 14:13:00,175.6996,175.749,175.65,175.674,34965.0,FB
2018-04-26 14:14:00,175.6727,175.68,175.54,175.61,53511.0,FB
2018-04-26 14:15:00,175.6,175.76,175.59,175.75,26710.0,FB
2018-04-26 14:16:00,175.72,175.8,175.66,175.6665,39593.0,FB
2018-04-26 14:17:00,175.655,175.66,175.58,175.63,30291.0,FB
2018-04-26 14:18:00,175.63,175.66,175.54,175.5496,44427.0,FB
2018-04-26 14:19:00,175.5555,175.61,175.36,175.39,80462.0,FB
2018-04-26 14:20:00,175.38,175.46,175.28,175.31,79179.0,FB
2018-04-26 14:21:00,175.31,175.35,175.13,175.265,132885.0,FB
2018-04-26 14:22:00,175.23,175.32,175.18,175.3,47344.0,FB
2018-04-26 14:23:00,175.3,175.32,175.23,175.28,45142.0,FB
2018-04-26 14:24:00,175.313,175.43,175.28,175.38,147400.0,FB
2018-04-26 14:25:00,175.4,175.48,175.26,175.26,50415.0,FB
2018-04-26 14:26:00,175.257,175.2699,174.92,175.1299,182738.0,FB
2018-04-26 14:27:00,175.14,175.24,175.1228,175.16,39402.0,FB
2018-04-26 14:28:00,175.16,175.3,175.16,175.23,43294.0,FB
2018-04-26 14:29:00,175.24,175.5,175.24,175.4499,43228.0,FB
2018-04-26 14:30:00,175.44,175.66,175.4,175.61,71311.0,FB
2018-04-26 14:31:00,175.64,175.7457,175.54,175.6377,58455.0,FB
2018-04-26 14:32:00,175.6251,175.6499,175.53,175.5499,36077.0,FB
2018-04-26 14:33:00,175.53,175.75,175.53,175.745,48763.0,FB
2018-04-26 14:34:00,175.745,175.7899,175.68,175.7536,88043.0,FB
2018-04-26 14:35:00,175.75,175.75,175.59,175.64,45973.0,FB
2018-04-26 14:36:00,175.61,175.64,175.4575,175.4575,48309.0,FB
2018-04-26 14:37:00,175.47,175.5,175.32,175.32,68645.0,FB
2018-04-26 14:38:00,175.33,175.42,175.2,175.316,68687.0,FB
2018-04-26 14:39:00,175.3,175.45,175.25,175.44,35518.0,FB
2018-04-26 14:40:00,175.4499,175.4836,175.3,175.3,59308.0,FB
2018-04-26 14:41:00,175.3177,175.41,175.26,175.29,44877.0,FB
2018-04-26 14:42:00,175.27,175.42,175.27,175.42,35914.0,FB
2018-04-26 14:43:00,175.44,175.48,175.34,175.435,55348.0,FB
2018-04-26 14:44:00,175.44,175.45,175.21,175.33,46353.0,FB
2018-04-26 14:45:00,175.33,175.36,175.23,175.33,41460.0,FB
2018-04-26 14:46:00,175.34,175.63,175.0,175.37,100351.0,FB
2018-04-26 14:47:00,175.3788,175.4,175.28,175.34,35276.0,FB
2018-04-26 14:48:00,175.35,175.36,175.21,175.215,46363.0,FB
2018-04-26 14:49:00,175.21,175.3,175.2064,175.28,22442.0,FB
2018-04-26 14:50:00,175.2799,175.28,175.15,175.2501,25438.0,FB
2018-04-26 14:51:00,175.26,175.29,175.15,175.207,42585.0,FB
2018-04-26 14:52:00,175.19,175.28,175.14,175.18,22102.0,FB
2018-04-26 14:53:00,175.17,175.24,175.09,175.24,38834.0,FB
2018-04-26 14:54:00,175.24,175.28,175.1501,175.22,43791.0,FB
2018-04-26 14:55:00,175.22,175.37,175.17,175.31,57398.0,FB
2018-04-26 14:56:00,175.32,175.48,175.295,175.45,56021.0,FB
2018-04-26 14:57:00,175.45,175.45,175.15,175.1887,32846.0,FB
2018-04-26 14:58:00,175.19,175.3,175.18,175.29,24340.0,FB
2018-04-26 14:59:00,175.28,175.4,175.2,175.35,32619.0,FB
2018-04-26 15:00:00,175.3415,175.37,175.31,175.33,19009.0,FB
2018-04-26 15:01:00,175.3248,175.34,175.18,175.29,44091.0,FB
2018-04-26 15:02:00,175.26,175.3,175.2,175.25,25288.0,FB
