date,1. open,2. high,3. low,4. close,5. volume,sym
2018-03-23 14:21:00,89.48,89.56,89.46,89.55,23823.0,MSFT
2018-03-23 14:22:00,89.55,89.56,89.41,89.44,64364.0,MSFT
2018-03-23 14:23:00,89.45,89.49,89.39,89.42,35593.0,MSFT
2018-03-23 14:24:00,89.43,89.53,89.4248,89.51,26125.0,MSFT
2018-03-23 14:25:00,89.5,89.65,89.46,89.59,57260.0,MSFT
2018-03-23 14:26:00,89.59,89.6,89.45,89.47,37411.0,MSFT
2018-03-23 14:27:00,89.48,89.5354,89.44,89.525,75901.0,MSFT
2018-03-23 14:28:00,89.53,89.55,89.41,89.43,96461.0,MSFT
2018-03-23 14:29:00,89.43,89.56,89.4239,89.55,29340.0,MSFT
2018-03-23 14:30:00,89.56,89.66,89.56,89.62,48660.0,MSFT
2018-03-23 14:31:00,89.62,89.62,89.53,89.58,49620.0,MSFT
2018-03-23 14:32:00,89.57,89.69,89.52,89.65,62477.0,MSFT
2018-03-23 14:33:00,89.66,89.68,89.56,89.58,29348.0,MSFT
2018-03-23 14:34:00,89.58,89.5844,89.42,89.45,75339.0,MSFT
2018-03-23 14:35:00,89.43,89.545,89.43,89.52,42113.0,MSFT
2018-03-23 14:36:00,89.52,89.52,89.35,89.39,68338.0,MSFT
2018-03-23 14:37:00,89.38,89.54,89.37,89.49,41087.0,MSFT
2018-03-23 14:38:00,89.4803,89.59,89.48,89.56,23665.0,MSFT
2018-03-23 14:39:00,89.56,89.575,89.49,89.55,27108.0,MSFT
2018-03-23 14:40:00,89.55,89.575,89.5,89.57,19346.0,MSFT
2018-03-23 14:41:00,89.56,89.63,89.52,89.6,43876.0,MSFT
2018-03-23 14:42:00,89.6,89.67,89.6,89.65,76220.0,MSFT
2018-03-23 14:43:00,89.645,89.654,89.52,89.58,56801.0,MSFT
2018-03-23 14:44:00,89.57,89.575,89.48,89.48,78598.0,MSFT
2018-03-23 14:45:00,89.4952,89.509,89.4,89.48,51676.0,MSFT
2018-03-23 14:46:00,89.48,89.48,89.34,89.39,99460.0,MSFT
2018-03-23 14:47:00,89.39,89.41,89.315,89.3939,101361.0,MSFT
2018-03-23 14:48:00,89.39,89.44,89.3,89.35,103443.0,MSFT
2018-03-23 14:49:00,89.36,89.38,89.25,89.28,68318.0,MSFT
2018-03-23 14:50:00,89.27,89.29,89.19,89.27,62455.0,MSFT
2018-03-23 14:51:00,89.2739,89.28,89.21,89.22,38599.0,MSFT
2018-03-23 14:52:00,89.22,89.22,89.07,89.14,61721.0,MSFT
2018-03-23 14:53:00,89.15,89.28,89.15,89.22,57578.0,MSFT
2018-03-23 14:54:00,89.23,89.24,89.09,89.155,65690.0,MSFT
2018-03-23 14:55:00,89.155,89.25,89.11,89.19,50046.0,MSFT
2018-03-23 14:56:00,89.18,89.18,89.05,89.065,59226.0,MSFT
2018-03-23 14:57:00,89.07,89.13,88.97,89.04,161884.0,MSFT
2018-03-23 14:58:00,89.05,89.06,88.84,88.84,106523.0,MSFT
2018-03-23 14:59:00,88.84,88.85,88.62,88.62,246936.0,MSFT
2018-03-23 15:00:00,88.6081,88.81,88.56,88.695,160518.0,MSFT
2018-03-23 15:01:00,88.69,88.78,88.55,88.57,107591.0,MSFT
2018-03-23 15:02:00,88.56,88.635,88.46,88.48,160556.0,MSFT
2018-03-23 15:03:00,88.4878,88.57,88.4,88.49,95484.0,MSFT
2018-03-23 15:04:00,88.47,88.68,88.44,88.68,180580.0,MSFT
2018-03-23 15:05:00,88.69,88.71,88.54,88.56,87776.0,MSFT
2018-03-23 15:06:00,88.565,88.77,88.53,88.735,80069.0,MSFT
2018-03-23 15:07:00,88.7315,88.735,88.5,88.54,104073.0,MSFT
2018-03-23 15:08:00,88.54,88.54,88.37,88.42,119490.0,MSFT
2018-03-23 15:09:00,88.43,88.525,88.4,88.45,230009.0,MSFT
2018-03-23 15:10:00,88.445,88.49,88.32,88.38,218893.0,MSFT
2018-03-23 15:11:00,88.38,88.6,88.34,88.435,125868.0,MSFT
