date,1. open,2. high,3. low,4. close,5. volume,sym
2018-02-15 09:30:00,169.79,169.86,169.36,169.84,791331.0,AAPL
2018-02-15 09:31:00,169.815,169.86,169.3,169.52,447777.0,AAPL
2018-02-15 09:32:00,169.5,169.6343,169.4,169.59,239587.0,AAPL
2018-02-15 09:33:00,169.58,169.87,169.54,169.82,334224.0,AAPL
2018-02-15 09:34:00,169.81,169.85,169.64,169.8,301680.0,AAPL
2018-02-15 09:35:00,169.81,169.857,169.27,169.31,356830.0,AAPL
2018-02-15 09:36:00,169.31,169.36,169.03,169.18,227348.0,AAPL
2018-02-15 09:37:00,169.2,169.55,169.0,169.5,310314.0,AAPL
2018-02-15 09:38:00,169.51,169.65,169.33,169.62,248698.0,AAPL
2018-02-15 09:39:00,169.64,169.9,169.59,169.795,255829.0,AAPL
2018-02-15 09:40:00,169.7966,170.33,169.7966,170.28,564319.0,AAPL
2018-02-15 09:41:00,170.29,170.39,170.01,170.1299,288341.0,AAPL
2018-02-15 09:42:00,170.13,170.6472,170.08,170.47,288514.0,AAPL
2018-02-15 09:43:00,170.45,170.5,170.32,170.49,190961.0,AAPL
2018-02-15 09:44:00,170.49,170.97,170.47,170.91,311545.0,AAPL
2018-02-15 09:45:00,170.895,170.94,170.65,170.775,279965.0,AAPL
2018-02-15 09:46:00,170.77,171.14,170.7212,170.87,442136.0,AAPL
2018-02-15 09:47:00,170.89,171.28,170.86,171.15,293464.0,AAPL
2018-02-15 09:48:00,171.145,171.37,171.13,171.36,281667.0,AAPL
2018-02-15 09:49:00,171.36,171.49,171.031,171.07,363006.0,AAPL
2018-02-15 09:50:00,171.08,171.35,171.0,171.33,212743.0,AAPL
2018-02-15 09:51:00,171.33,171.5,171.28,171.37,246814.0,AAPL
2018-02-15 09:52:00,171.36,171.59,171.2618,171.4498,259414.0,AAPL
2018-02-15 09:53:00,171.46,171.89,171.45,171.87,281747.0,AAPL
2018-02-15 09:54:00,171.89,172.06,171.7,171.9334,430373.0,AAPL
2018-02-15 09:55:00,171.93,171.93,171.49,171.645,338302.0,AAPL
2018-02-15 09:56:00,171.57,171.82,171.57,171.795,222949.0,AAPL
2018-02-15 09:57:00,171.7999,171.83,171.54,171.69,168042.0,AAPL
2018-02-15 09:58:00,171.6818,171.74,171.54,171.63,112481.0,AAPL
2018-02-15 09:59:00,171.61,171.61,171.45,171.521,190935.0,AAPL
2018-02-15 10:00:00,171.54,171.66,171.33,171.36,211493.0,AAPL
2018-02-15 10:01:00,171.36,171.46,171.31,171.33,160570.0,AAPL
2018-02-15 10:02:00,171.33,171.38,171.22,171.25,180091.0,AAPL
2018-02-15 10:03:00,171.23,171.26,171.15,171.24,195943.0,AAPL
2018-02-15 10:04:00,171.24,171.25,171.14,171.225,200377.0,AAPL
2018-02-15 10:05:00,171.23,171.34,171.09,171.2,182237.0,AAPL
2018-02-15 10:06:00,171.205,171.22,171.08,171.14,217617.0,AAPL
2018-02-15 10:07:00,171.14,171.45,171.12,171.3481,224284.0,AAPL
2018-02-15 10:08:00,171.34,171.34,171.02,171.07,234536.0,AAPL
2018-02-15 10:09:00,171.09,171.25,171.09,171.145,164754.0,AAPL
2018-02-15 10:10:00,171.14,171.16,170.85,170.8766,277822.0,AAPL
2018-02-15 10:11:00,170.88,170.98,170.85,170.88,159963.0,AAPL
2018-02-15 10:12:00,170.88,170.89,170.76,170.8,198160.0,AAPL
2018-02-15 10:13:00,170.81,170.96,170.78,170.83,153605.0,AAPL
2018-02-15 10:14:00,170.82,170.82,170.64,170.72,152859.0,AAPL
2018-02-15 10:15:00,170.72,170.9,170.7,170.71,176161.0,AAPL
