date,1. open,2. high,3. low,4. close,5. volume,sym
2018-03-02 14:21:00,233.78,233.946,233.66,233.685,31365.0,NVDA
2018-03-02 14:22:00,233.71,233.89,233.66,233.77,25820.0,NVDA
2018-03-02 14:23:00,233.7447,233.92,233.43,233.49,33805.0,NVDA
2018-03-02 14:24:00,233.45,233.51,233.08,233.08,47150.0,NVDA
2018-03-02 14:25:00,233.07,233.2259,233.02,233.16,35370.0,NVDA
2018-03-02 14:26:00,233.2,233.65,233.2,233.54,44180.0,NVDA
2018-03-02 14:27:00,233.56,233.93,233.48,233.88,37298.0,NVDA
2018-03-02 14:28:00,233.8844,234.04,233.59,233.59,54935.0,NVDA
2018-03-02 14:29:00,233.647,233.675,233.43,233.6,27246.0,NVDA
2018-03-02 14:30:00,233.6202,234.0,233.5708,233.98,24660.0,NVDA
2018-03-02 14:31:00,233.95,234.03,233.81,233.81,31477.0,NVDA
2018-03-02 14:32:00,233.86,234.14,233.831,234.1,25517.0,NVDA
2018-03-02 14:33:00,234.1009,234.4359,234.08,234.2654,59504.0,NVDA
2018-03-02 14:34:00,234.25,234.265,233.8,233.8708,32540.0,NVDA
2018-03-02 14:35:00,233.93,233.96,233.49,233.5055,31602.0,NVDA
2018-03-02 14:36:00,233.46,233.807,233.46,233.6799,17715.0,NVDA
2018-03-02 14:37:00,233.6117,234.1,233.588,234.0692,47601.0,NVDA
2018-03-02 14:38:00,234.1,234.179,233.89,234.179,19391.0,NVDA
2018-03-02 14:39:00,234.12,234.44,234.043,234.32,35536.0,NVDA
2018-03-02 14:40:00,234.28,234.64,234.2701,234.61,50450.0,NVDA
2018-03-02 14:41:00,234.57,234.7195,234.3552,234.49,26116.0,NVDA
2018-03-02 14:42:00,234.495,234.68,234.35,234.43,28448.0,NVDA
2018-03-02 14:43:00,234.44,234.45,234.04,234.37,33133.0,NVDA
2018-03-02 14:44:00,234.31,234.4,233.97,234.11,26011.0,NVDA
2018-03-02 14:45:00,234.1092,234.565,234.065,234.42,43505.0,NVDA
2018-03-02 14:46:00,234.45,234.45,234.215,234.29,26958.0,NVDA
2018-03-02 14:47:00,234.28,234.4,234.14,234.3276,19335.0,NVDA
2018-03-02 14:48:00,234.28,234.28,233.98,234.215,22941.0,NVDA
2018-03-02 14:49:00,234.19,234.36,234.13,234.1364,14780.0,NVDA
2018-03-02 14:50:00,234.12,234.42,234.08,234.42,17205.0,NVDA
2018-03-02 14:51:00,234.38,234.42,234.1,234.395,22377.0,NVDA
2018-03-02 14:52:00,234.429,234.8,234.361,234.605,28025.0,NVDA
2018-03-02 14:53:00,234.5912,234.5912,234.15,234.24,33896.0,NVDA
2018-03-02 14:54:00,234.16,234.5,234.1401,234.3838,16066.0,NVDA
2018-03-02 14:55:00,234.4388,234.4388,234.16,234.255,23944.0,NVDA
2018-03-02 14:56:00,234.23,234.27,233.96,233.9692,38063.0,NVDA
2018-03-02 14:57:00,234.06,234.21,234.0,234.025,12958.0,NVDA
2018-03-02 14:58:00,234.08,234.2,234.03,234.11,17604.0,NVDA
2018-03-02 14:59:00,234.12,234.28,234.0235,234.0498,16380.0,NVDA
2018-03-02 15:00:00,234.06,234.09,233.59,233.68,41567.0,NVDA
2018-03-02 15:01:00,233.68,233.68,233.25,233.59,61296.0,NVDA
2018-03-02 15:02:00,233.53,233.7499,233.49,233.55,16249.0,NVDA
2018-03-02 15:03:00,233.5432,233.5432,232.917,232.9848,30800.0,NVDA
2018-03-02 15:04:00,233.05,233.44,233.05,233.44,24313.0,NVDA
2018-03-02 15:05:00,233.41,233.78,233.41,233.7553,20503.0,NVDA
2018-03-02 15:06:00,233.769,233.79,233.46,233.72,22440.0,NVDA
2018-03-02 15:07:00,233.7201,234.02,233.68,233.87,26018.0,NVDA
2018-03-02 15:08:00,233.87,233.87,233.31,233.47,42918.0,NVDA
2018-03-02 15:09:00,233.43,233.85,233.411,233.76,27002.0,NVDA
2018-03-02 15:10:00,233.75,234.059,233.72,233.935,37149.0,NVDA
2018-03-02 15:11:00,233.98,233.99,233.61,233.73,24171.0,NVDA
2018-03-02 15:12:00,233.695,233.695,233.57,233.65,40214.0,NVDA
2018-03-02 15:13:00,233.66,233.8,233.421,233.421,31998.0,NVDA
2018-03-02 15:14:00,233.4264,233.7,233.3,233.63,28675.0,NVDA
2018-03-02 15:15:00,233.64,233.76,233.59,233.68,12971.0,NVDA
2018-03-02 15:16:00,233.71,233.89,233.66,233.86,20230.0,NVDA
2018-03-02 15:17:00,233.85,233.9,233.32,233.75,40153.0,NVDA
2018-03-02 15:18:00,233.75,233.98,233.72,233.91,23417.0,NVDA
2018-03-02 15:19:00,233.96,234.3,233.86,234.08,46845.0,NVDA
2018-03-02 15:20:00,234.1068,234.25,233.98,234.25,25855.0,NVDA
2018-03-02 15:21:00,234.26,234.42,234.14,234.2348,29413.0,NVDA
2018-03-02 15:22:00,234.2,234.2116,233.87,234.11,35762.0,NVDA
2018-03-02 15:23:00,234.15,234.4499,234.15,234.28,20633.0,NVDA
2018-03-02 15:24:00,234.35,234.39,234.292,234.35,12010.0,NVDA
2018-03-02 15:25:00,234.365,234.58,234.32,234.45,28882.0,NVDA
2018-03-02 15:26:00,234.47,234.79,234.4665,234.78,27594.0,NVDA
2018-03-02 15:27:00,234.72,234.79,234.57,234.66,29922.0,NVDA
2018-03-02 15:28:00,234.64,234.74,234.5311,234.56,34058.0,NVDA
2018-03-02 15:29:00,234.5969,234.71,234.45,234.64,28533.0,NVDA
2018-03-02 15:30:00,234.63,234.76,234.5664,234.71,35912.0,NVDA
2018-03-02 15:31:00,234.6801,234.98,234.58,234.94,45153.0,NVDA
2018-03-02 15:32:00,234.9546,235.0,234.84,234.945,45018.0,NVDA
2018-03-02 15:33:00,234.9365,235.36,234.9365,235.26,76477.0,NVDA
2018-03-02 15:34:00,235.27,235.75,235.25,235.6799,83504.0,NVDA
2018-03-02 15:35:00,235.67,235.72,235.51,235.51,51817.0,NVDA
2018-03-02 15:36:00,235.51,235.61,235.396,235.55,42075.0,NVDA
2018-03-02 15:37:00,235.55,235.58,235.37,235.445,29499.0,NVDA
2018-03-02 15:38:00,235.43,235.85,235.43,235.819,42640.0,NVDA
2018-03-02 15:39:00,235.7995,235.97,235.6501,235.942,56413.0,NVDA
2018-03-02 15:40:00,235.96,236.0,235.76,235.9,81220.0,NVDA
2018-03-02 15:41:00,235.95,236.04,235.85,235.9342,52867.0,NVDA
2018-03-02 15:42:00,235.97,235.97,235.68,235.68,42646.0,NVDA
2018-03-02 15:43:00,235.73,235.92,235.6016,235.84,45303.0,NVDA
2018-03-02 15:44:00,235.84,236.2,235.79,236.0552,42310.0,NVDA
2018-03-02 15:45:00,236.03,236.19,235.9103,236.12,30815.0,NVDA
2018-03-02 15:46:00,236.13,236.13,235.86,236.015,38051.0,NVDA
2018-03-02 15:47:00,235.99,235.99,235.6831,235.73,38544.0,NVDA
2018-03-02 15:48:00,235.74,235.8,235.5353,235.5801,33499.0,NVDA
2018-03-02 15:49:00,235.61,235.66,235.46,235.46,37432.0,NVDA
2018-03-02 15:50:00,235.46,236.25,235.41,236.02,58695.0,NVDA
2018-03-02 15:51:00,236.02,236.37,235.93,236.3625,99994.0,NVDA
2018-03-02 15:52:00,236.361,236.44,236.15,236.3525,83049.0,NVDA
2018-03-02 15:53:00,236.33,236.6,236.33,236.5698,101118.0,NVDA
2018-03-02 15:54:00,236.594,236.79,236.44,236.55,68551.0,NVDA
2018-03-02 15:55:00,236.55,236.64,236.37,236.64,71012.0,NVDA
2018-03-02 15:56:00,236.62,236.8,236.5,236.58,70787.0,NVDA
2018-03-02 15:57:00,236.57,236.78,236.52,236.71,78434.0,NVDA
2018-03-02 15:58:00,236.72,236.74,236.45,236.61,103233.0,NVDA
2018-03-02 15:59:00,236.605,236.61,236.17,236.5,105264.0,NVDA
2018-03-02 16:00:00,236.5,236.72,236.33,236.54,634831.0,NVDA
